"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"905b62f99f81044971a812adc4654c3ce7e33998465b0d5387775cd1e65fca27a22c221527d71a0d0d64416e5e7e42a7dbdb84eba2e02620e7a5a32f1f03d56a",,"2026-04-17T22:30:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","WET","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2026-04-17T23:00:00.000","IMPROPER TURNING/NO SIGNAL","UNABLE TO DETERMINE","6700","S","STONY ISLAND AVE","332",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","5","0","22","6","4","41.7732928959","-87.5864423683","POINT (-87.586442368314 41.773292895851)"
"c9030abd415b0883e736dedf15b7fbfa6ad371e514bce4a04a1416e89d63da2c04cfa66076b7b8ec50a922de60c0b6f3561afdadd3bebc0823ec8f8f2b4105ef",,"2026-04-17T22:30:00.000","30","UNKNOWN","UNKNOWN","RAIN","DUSK","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2026-04-17T23:45:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","1","S","CLARK ST","112",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","6","4","41.881917746","-87.6307328253","POINT (-87.630732825324 41.881917745999)"
"699d67f5d5022257f25d0defaef3c85f02cca8935fa47ebbd1c6855497c3b8c07f196548e848f0af9c2afe04448fcaa2e6d9f52dfbc9fafc9f26fc0bc2c469a7",,"2026-04-17T22:00:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2026-04-18T00:40:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","2222","N","WASHTENAW AVE","1431",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","22","6","4","41.9223699089","-87.6956924211","POINT (-87.695692421115 41.922369908865)"
"1b3ccd8c0ab76b5afc930441dda257608684c6763c9f31572fac537fb5e480dd367d5ddad7565bc758e43ce93c30c72fafb4fab4bfd8b08f17d9153446d2363e",,"2026-04-17T21:53:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","ANGLE","NOT REPORTED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2026-04-17T22:20:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","3400","W","112TH PL","2211",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","6","4","41.6888328909","-87.7056609041","POINT (-87.705660904143 41.688832890871)"
"bfa2231537b286ee4d7f6ae1eae42788d537a2173bb8a80c0268d519dbd736b0faf4a5ee7f602256cd977e3da041bf90769d33f20313725de70f4c16c190f79f",,"2026-04-17T21:30:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2026-04-17T21:35:00.000","FAILING TO YIELD RIGHT-OF-WAY","NOT APPLICABLE","199","E","47TH ST","224",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","21","6","4","41.8092005336","-87.6212918501","POINT (-87.621291850129 41.809200533601)"
"ed3558d47bcee3fdaff33bd9b1451e7556fa2772d3a1636adbe05b8dcd2ebd667fe62c1e17a3c284efee47e84c3ceaa0f0132686039e2816f1bae4e60d210582",,"2026-04-17T21:15:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","REAR END","FOUR WAY",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2026-04-18T01:10:00.000","FOLLOWING TOO CLOSELY","FAILING TO REDUCE SPEED TO AVOID CRASH","6810","N","SHERIDAN RD","2431",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","6","4","42.0058885547","-87.6611574084","POINT (-87.661157408387 42.005888554665)"
"63487d5445fc150283e2615470038e073b8bdd4d0ca57defe76d443858bd5c64d5346dab50accd2e47a7386b3177a0c5460d4defe0c20ad59d72d1ae33991394",,"2026-04-17T21:14:00.000","30","NO CONTROLS","UNKNOWN","CLEAR","DARKNESS, LIGHTED ROAD","HEAD ON","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2026-04-17T21:25:00.000","IMPROPER LANE USAGE","PHYSICAL CONDITION OF DRIVER","345","S","CENTRAL AVE","1522",,,,,,,"2","REPORTED, NOT EVIDENT","1","0","0","0","1","1","0","21","6","4","41.8751840613","-87.7645316936","POINT (-87.764531693636 41.875184061256)"
"b91dbb48fccc1dc125a6e378dcc7c4b0b4b481ffb4f01c493c876677622997154bb4f811cc3224a56a7fd86c57837bc62d43cbf0c1578fc7effa3b6fb4d175ad",,"2026-04-17T21:14:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","UNKNOWN","ON SCENE","NO INJURY / DRIVE AWAY","Y",,,"$501 - $1,500","2026-04-17T22:46:00.000","FOLLOWING TOO CLOSELY","UNABLE TO DETERMINE","2402","N","CALIFORNIA AVE","1414",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","6","4","41.9249528477","-87.6975634914","POINT (-87.697563491434 41.924952847704)"
"0bc297cf2adbe46cb56791fc01fb26975a056ce8ad926b72b66f4e1ce9bcda245bd23b4212b2b67595ce0692e53ef884581ff53869481a3a752b28f6a5664b0e","Y","2026-04-17T21:10:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS","FIXED OBJECT","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","WORN SURFACE","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2026-04-17T21:10:00.000","WEATHER","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)","4231","W","76TH ST","833",,,,,,,"1","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","6","4","41.7549111465","-87.7282124218","POINT (-87.728212421769 41.754911146485)"
"8ee041e65124e6351911587e353fd0ed1423119f7669105f82e233411e57d6d778c0f45775e8e7363a1ce5993b3437cfee9a5a28d9ebaa60c712f826b970ae4c",,"2026-04-17T21:10:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","TURNING","Y-INTERSECTION",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2026-04-17T22:00:00.000","FAILING TO YIELD RIGHT-OF-WAY","UNABLE TO DETERMINE","4321","W","ADDISON ST","1731",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","6","0","21","6","4","41.9461540287","-87.7360732243","POINT (-87.736073224274 41.946154028748)"
"228509501e0a2e55c4e1215520662a90f8a9e91150e2942f9ea20a50e4c3fed2f91bd3b5507b7ee304236e811b74da57f92f8374905380f452e2d01bcbe33cc5",,"2026-04-17T21:00:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","DRIVEWAY",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2026-04-17T23:40:00.000","IMPROPER BACKING","NOT APPLICABLE","4217","W","FULLERTON AVE","2522",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","21","6","4","41.9243081435","-87.7323552018","POINT (-87.732355201769 41.924308143538)"
"266e24904cfb639d8ef4f6cfa70dbbbb6e3893baf0dd6a964fff4b6424e791e2878edd181d65e0825263aa77c4c5c827df2e347f7c5370ec571b6b6846cdf012",,"2026-04-17T21:00:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2026-04-17T23:18:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","4431","W","55TH ST","813",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","21","6","4","41.7930010146","-87.7341280878","POINT (-87.734128087826 41.793001014644)"
"a5f8c5935148e3639cc5b5e04f8a4314f2b391bfe319522c3d6bfcffde5c64cae794d7f5eb49e2ef8f3e02ea919cb5e8479bcc74581664c4fad009e1b004e1e2",,"2026-04-17T20:55:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","RAIN","DARKNESS, LIGHTED ROAD","REAR END","FOUR WAY",,"STRAIGHT AND LEVEL","WET","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"$501 - $1,500","2026-04-17T23:15:00.000","FOLLOWING TOO CLOSELY","NOT APPLICABLE","1200","E","55TH ST","234",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","6","4","41.7951769617","-87.5964654594","POINT (-87.596465459396 41.795176961697)"
"85d7e5e577e2d159425606ac4834dcb0c714df4ffd39053ee2f31f559fd1b6990424cd859204b0f188fbf678823b6f854df1afa5f34b5631a07983a730d2905b",,"2026-04-17T20:51:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DARKNESS","REAR END","ONE-WAY",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY","N",,,"$501 - $1,500","2026-04-17T20:51:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","101","N","LECLAIRE AVE","1532",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","6","4","41.8817900149","-87.7525234863","POINT (-87.75252348633 41.881790014948)"
"ce55169072785c1b9fb622d285af7cd95392bdd54e9bcdc250e099f7ca6b67d1d1f52bfa243cef162588ad8e7faec0f83650743f81c8d5b2c13ac375f145535d",,"2026-04-17T20:51:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","$501 - $1,500","2026-04-17T20:56:00.000","FOLLOWING TOO CLOSELY","FAILING TO REDUCE SPEED TO AVOID CRASH","4945","S","ARCHER AVE","821",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","6","4","41.8032980775","-87.7215989951","POINT (-87.721598995093 41.803298077484)"
"ec629cd5a9c19c4eb339c749dd183fbeaed82367e513045db2cfc6a9db96a35d78bbed8d54749921eee978202017ae49227386671de535410f4e32278f504f9b",,"2026-04-17T20:30:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"N","OVER $1,500","2026-04-17T20:56:00.000","FAILING TO YIELD RIGHT-OF-WAY","NOT APPLICABLE","6258","S","DR MARTIN LUTHER KING JR DR","311",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","20","6","4","41.78032875","-87.6157713178","POINT (-87.615771317766 41.780328750022)"
"faa47868fdcb517fc903f9bbeef557e452d362922cebba748da9d738fc61b252c6b07126769348e3eeb4aad652568b3f6f152ad20fab68b8b87e28593097d84b",,"2026-04-17T20:24:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2026-04-17T22:00:00.000","IMPROPER OVERTAKING/PASSING","UNABLE TO DETERMINE","432","W","127TH ST","523",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","20","6","4","41.6634021081","-87.6330316961","POINT (-87.633031696115 41.66340210812)"
"13855d717802ed1613ac412dea026cfbc72679d0485abf9f2aaacef7720c0bf301ecb8d6b4dd562efc161694f7c1350f3ae079d51cca12aaf3a8c5f32121bc15",,"2026-04-17T20:13:00.000","30","NO CONTROLS","NO CONTROLS","UNKNOWN","DAYLIGHT","OTHER OBJECT","NOT DIVIDED",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2026-04-17T20:13:00.000","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER","NOT APPLICABLE","4652","W","JACKSON BLVD","1113",,,,"Y","CONSTRUCTION",,"1","NO INDICATION OF INJURY","0","0","0","0","0","1","0","20","6","4","41.8769903549","-87.7423839842","POINT (-87.742383984172 41.87699035491)"
"50f6f65a262e2f4a356b88a2d252f4d4219470c247663b8e16c1c744bd44960ef69bfb510d4728ef2883b88a96df0c19f3eb337cd2ec43b95d6f5b760c2d93cf",,"2026-04-17T20:00:00.000","30","TRAFFIC SIGNAL","UNKNOWN","UNKNOWN","DARKNESS, LIGHTED ROAD","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY","Y",,,"$501 - $1,500","2026-04-17T20:16:00.000","IMPROPER LANE USAGE","NOT APPLICABLE","4800","W","LEXINGTON ST","1533",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","4","0","20","6","4","41.8712890495","-87.7450014716","POINT (-87.745001471603 41.871289049458)"
"809178c05c459610372921e9c617cddfed442370db79ba66a4228264d67963de9078770c18ca7147b4035b3d8b946ac7c765fc0bded1dd6d5a38dc1e348d9ad7",,"2026-04-17T19:53:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2026-04-17T20:00:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","6341","S","WESTERN AVE","825",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","19","6","4","41.7779292151","-87.6834607079","POINT (-87.683460707943 41.777929215113)"
"5d85cf3c225d39fc47dae5f4bb368864d36d520f735f54ab9ec32cf9b4724f5a8a5ea6e4faaa862e6bb966ac7151c0a4bce89424315b7252467f4f512781bdc9",,"2026-04-17T19:47:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,,"$501 - $1,500","2026-04-17T20:02:00.000","IMPROPER TURNING/NO SIGNAL","NOT APPLICABLE","11865","S","MARSHFIELD AVE","2234",,"Y",,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","19","6","4","41.6776203309","-87.6623264374","POINT (-87.662326437356 41.677620330949)"
"d66d28ad4ff558ecd97b4960fc8e044f607ee751a7ae6919fb8693ad1c8ee3b9f42d915ee8b32389915b7da5577507894b467851cf732f0c44b14b3eafd51ff6",,"2026-04-17T19:40:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DUSK","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY","N","N","Y","OVER $1,500","2026-04-17T19:55:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","548","E","51ST ST","223",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","19","6","4","41.8022651331","-87.6122106811","POINT (-87.612210681122 41.802265133077)"
"38f94b004247dccfeca8c9d8464d2ca615d438bf07f204288d1dd2fb5e8f7443b9fa841c6836bee7f6426bc9c05114ac15c45358f25e2d50ad0f04fc3dd10a07","Y","2026-04-17T19:27:00.000","20","UNKNOWN","UNKNOWN","CLEAR","DAYLIGHT","PEDESTRIAN","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","INJURY AND / OR TOW DUE TO CRASH",,,"Y","$500 OR LESS","2026-04-17T19:27:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","5000","W","GLADYS AVE","1533",,,,,,,"2","NONINCAPACITATING INJURY","1","0","0","1","0","1","0","19","6","4","41.8759348664","-87.7494574027","POINT (-87.749457402725 41.875934866361)"
"fa99f640a00ff00fda712d8a4ec682e414bc470ad0d21d048e46fd982fa9b9eeafea4519d0eaaa18e6e310e27352e1b8866b504cdea488b9a115bdbeeaedd62b",,"2026-04-17T19:23:00.000","25","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY","N",,"N","OVER $1,500","2026-04-17T19:23:00.000","FOLLOWING TOO CLOSELY","UNABLE TO DETERMINE","2335","W","HOWARD ST","2411",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","19","6","4","42.0194193932","-87.689101505","POINT (-87.68910150503 42.019419393235)"
